> mm3
[info] Compiling 3 Scala sources to /Documents/EPFL/MasterProj/lamp-dp-mt/target/scala-2.10/classes...
[make] libRNA.jnilib up to date.
[make] RNAfold up to date.
[info] Running v4.examples.MatrixMultGen3
[info] ====( CUDA warm-up )==============================================
[info] Analysis             : 0.008 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.027 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.026 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.027 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.027 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.028 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.028 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.028 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.028 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.027 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.028 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.029 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.027 sec
[info] Memory selection     : 0,07Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 0,004 sec
[info] - CUDA backtrack     : 0,001 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.028 sec
[info] ---- Size = 256 ----------------
[info] Size / splits        : 256 x 256 / 1
[info] C/CUDA compilation   : 1.750 sec
[info] Scala compilation    : 0.126 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,018 sec
[info] - CUDA compute       : 0,019 sec
[info] - CUDA backtrack     : 0,002 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.048 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 0,019 sec
[info] - CUDA backtrack     : 0,003 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.046 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,020 sec
[info] - CUDA backtrack     : 0,002 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.046 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,020 sec
[info] - CUDA backtrack     : 0,002 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.046 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 0,020 sec
[info] - CUDA backtrack     : 0,002 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.046 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 0,020 sec
[info] - CUDA backtrack     : 0,003 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.046 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,020 sec
[info] - CUDA backtrack     : 0,002 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.046 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,020 sec
[info] - CUDA backtrack     : 0,002 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.045 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,020 sec
[info] - CUDA backtrack     : 0,002 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.046 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,020 sec
[info] - CUDA backtrack     : 0,002 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.045 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 0,020 sec
[info] - CUDA backtrack     : 0,002 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.046 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,020 sec
[info] - CUDA backtrack     : 0,002 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.045 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 0,020 sec
[info] - CUDA backtrack     : 0,002 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.048 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,020 sec
[info] - CUDA backtrack     : 0,002 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.045 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,020 sec
[info] - CUDA backtrack     : 0,002 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.045 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 0,020 sec
[info] - CUDA backtrack     : 0,002 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.046 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,019 sec
[info] - CUDA compute       : 0,020 sec
[info] - CUDA backtrack     : 0,002 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.048 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,020 sec
[info] - CUDA backtrack     : 0,002 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.046 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,020 sec
[info] - CUDA backtrack     : 0,002 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.045 sec
[info] Memory selection     : 0,26Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,020 sec
[info] - CUDA backtrack     : 0,002 sec
[info] - JNI output         : 0,001 sec
[info] Execution            : 0.045 sec
[info] ---- Size = 512 ----------------
[info] Size / splits        : 512 x 512 / 1
[info] C/CUDA compilation   : 1.754 sec
[info] Scala compilation    : 0.084 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,020 sec
[info] - CUDA compute       : 0,201 sec
[info] - CUDA backtrack     : 0,008 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.240 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,019 sec
[info] - CUDA compute       : 0,180 sec
[info] - CUDA backtrack     : 0,008 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.217 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,019 sec
[info] - CUDA compute       : 0,162 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.198 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 0,162 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.196 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,018 sec
[info] - CUDA compute       : 0,108 sec
[info] - CUDA backtrack     : 0,004 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.140 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,107 sec
[info] - CUDA backtrack     : 0,004 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.137 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,107 sec
[info] - CUDA backtrack     : 0,004 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.136 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 0,105 sec
[info] - CUDA backtrack     : 0,004 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.135 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,102 sec
[info] - CUDA backtrack     : 0,004 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.130 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,100 sec
[info] - CUDA backtrack     : 0,004 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.129 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,100 sec
[info] - CUDA backtrack     : 0,004 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.128 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,100 sec
[info] - CUDA backtrack     : 0,004 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.128 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,100 sec
[info] - CUDA backtrack     : 0,004 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.127 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,100 sec
[info] - CUDA backtrack     : 0,004 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.128 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,100 sec
[info] - CUDA backtrack     : 0,004 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.128 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,100 sec
[info] - CUDA backtrack     : 0,004 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.129 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 0,098 sec
[info] - CUDA backtrack     : 0,004 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.128 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,095 sec
[info] - CUDA backtrack     : 0,004 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.123 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,095 sec
[info] - CUDA backtrack     : 0,004 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.122 sec
[info] Memory selection     : 1,02Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,095 sec
[info] - CUDA backtrack     : 0,004 sec
[info] - JNI output         : 0,003 sec
[info] Execution            : 0.123 sec
[info] ---- Size = 1024 ----------------
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,418 sec
[info] - CUDA backtrack     : 0,007 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.453 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 0,339 sec
[info] - CUDA backtrack     : 0,007 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.373 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,320 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.352 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,315 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.348 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,315 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.348 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,315 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.348 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,315 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.348 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,315 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.349 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,315 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.348 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,315 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.347 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,315 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.347 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,315 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.348 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,315 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.348 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,315 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.348 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,315 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,006 sec
[info] Execution            : 0.348 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,315 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.348 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,314 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.347 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,315 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.348 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 0,315 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.348 sec
[info] Memory selection     : 4,04Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 0,315 sec
[info] - CUDA backtrack     : 0,006 sec
[info] - JNI output         : 0,005 sec
[info] Execution            : 0.347 sec
[info] ---- Size = 2048 ----------------
[info] Size / splits        : 2048 x 2048 / 8
[info] C/CUDA compilation   : 1.758 sec
[info] Scala compilation    : 0.086 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,019 sec
[info] - CUDA compute       : 1,667 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,011 sec
[info] Execution            : 1.716 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 1,639 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,010 sec
[info] Execution            : 1.684 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 1,640 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,011 sec
[info] Execution            : 1.685 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 1,639 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,011 sec
[info] Execution            : 1.684 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 1,639 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,010 sec
[info] Execution            : 1.684 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 1,640 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,010 sec
[info] Execution            : 1.685 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 1,640 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,010 sec
[info] Execution            : 1.685 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 1,639 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,010 sec
[info] Execution            : 1.684 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 1,640 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,010 sec
[info] Execution            : 1.685 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 1,639 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,011 sec
[info] Execution            : 1.684 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 1,639 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,010 sec
[info] Execution            : 1.684 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 1,639 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,038 sec
[info] Execution            : 1.712 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 1,641 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,010 sec
[info] Execution            : 1.685 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 1,639 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,011 sec
[info] Execution            : 1.684 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 1,640 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,010 sec
[info] Execution            : 1.685 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 1,639 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,011 sec
[info] Execution            : 1.686 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 1,639 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,010 sec
[info] Execution            : 1.684 sec
